epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.47751,2.87181,3.87106,1.95797,0.17222,0.38366,0.07974,0.03693,1.51509,3.1552,1.11463,2e-05,2e-05,2e-05
2,12.8511,2.81236,3.85003,2.03751,0.20111,0.44802,0.13844,0.06385,1.4151,2.68231,1.07145,5.9406e-05,5.9406e-05,5.9406e-05
3,18.8301,2.86652,3.57767,1.92756,0.20111,0.44802,0.13844,0.06385,1.4151,2.68231,1.07145,9.802e-05,9.802e-05,9.802e-05
4,22.4347,2.26364,3.23172,1.56606,0.30312,0.41832,0.20788,0.106,1.40471,1.77784,1.04848,0.000135842,0.000135842,0.000135842
5,26.297,2.27778,3.00795,1.56917,0.30312,0.41832,0.20788,0.106,1.40471,1.77784,1.04848,0.000172872,0.000172872,0.000172872
6,30.2422,2.05354,2.72619,1.52434,0.32015,0.44178,0.19831,0.09215,1.69179,2.66662,1.1327,0.00020911,0.00020911,0.00020911
7,33.3266,1.9923,2.15973,1.25161,0.32015,0.44178,0.19831,0.09215,1.69179,2.66662,1.1327,0.000244556,0.000244556,0.000244556
8,36.5227,2.28073,2.33144,1.39324,0.32015,0.44178,0.19831,0.09215,1.69179,2.66662,1.1327,0.00027921,0.00027921,0.00027921
9,40.6677,1.90306,1.9792,1.40135,0.18222,0.40594,0.13047,0.06205,1.72719,13.0316,1.23887,0.000313072,0.000313072,0.000313072
10,45.6899,2.32011,2.01418,1.59167,0.18222,0.40594,0.13047,0.06205,1.72719,13.0316,1.23887,0.000346142,0.000346142,0.000346142
11,49.6029,2.01037,2.13983,1.41023,0.18222,0.40594,0.13047,0.06205,1.72719,13.0316,1.23887,0.00037842,0.00037842,0.00037842
12,53.4287,2.04246,1.94841,1.49978,0.18222,0.40594,0.13047,0.06205,1.72719,13.0316,1.23887,0.000409906,0.000409906,0.000409906
13,59.6936,1.67695,1.64389,1.28591,0.23631,0.45545,0.16743,0.08423,1.53755,5.57683,1.14262,0.0004406,0.0004406,0.0004406
14,63.4763,2.46428,1.81579,1.62069,0.23631,0.45545,0.16743,0.08423,1.53755,5.57683,1.14262,0.000470502,0.000470502,0.000470502
15,66.6406,1.73093,1.38281,1.25744,0.23631,0.45545,0.16743,0.08423,1.53755,5.57683,1.14262,0.000499612,0.000499612,0.000499612
16,70.8174,2.09911,1.69223,1.49374,0.23631,0.45545,0.16743,0.08423,1.53755,5.57683,1.14262,0.00052793,0.00052793,0.00052793
17,76.8437,1.97046,1.70989,1.59688,0.23631,0.45545,0.16743,0.08423,1.53755,5.57683,1.14262,0.000555456,0.000555456,0.000555456
18,83.586,2.34176,1.36484,1.35665,0.23631,0.45545,0.16743,0.08423,1.53755,5.57683,1.14262,0.00058219,0.00058219,0.00058219
19,99.3671,2.07473,1.56778,1.40298,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.000608132,0.000608132,0.000608132
20,106.239,1.3587,1.78365,1.26651,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.000633282,0.000633282,0.000633282
21,114.526,1.76537,2.11149,1.34063,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.00065764,0.00065764,0.00065764
22,125.521,1.42467,1.38091,1.20938,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.000681206,0.000681206,0.000681206
23,131.822,2.03773,2.00641,1.27335,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.00070398,0.00070398,0.00070398
24,137.402,2.06938,1.57064,1.42317,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.000725962,0.000725962,0.000725962
25,142.746,1.68924,1.52431,1.26332,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.000747152,0.000747152,0.000747152
26,147.912,1.52259,1.64132,1.39881,0.32225,0.42822,0.21349,0.10846,1.59036,3.58656,1.15005,0.00076755,0.00076755,0.00076755
27,152.363,1.58802,1.64632,1.27424,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000787156,0.000787156,0.000787156
28,157.327,1.96492,1.52327,1.30698,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.00080597,0.00080597,0.00080597
29,165.817,2.18445,1.79428,1.57593,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000823992,0.000823992,0.000823992
30,170.8,1.9817,1.77925,1.47496,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000841222,0.000841222,0.000841222
31,174.333,2.15495,1.62205,1.40393,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.00085766,0.00085766,0.00085766
32,177.705,1.74642,1.53362,1.25896,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000873306,0.000873306,0.000873306
33,181.167,1.74909,1.4818,1.16235,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.00088816,0.00088816,0.00088816
34,184.35,1.55979,1.56352,1.25477,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000902222,0.000902222,0.000902222
35,188.549,1.82071,1.68683,1.45751,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000915492,0.000915492,0.000915492
36,192.388,1.7617,1.63165,1.43402,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.00092797,0.00092797,0.00092797
37,196.058,2.23679,1.71643,1.59826,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000939656,0.000939656,0.000939656
38,198.96,1.46618,1.49235,1.22484,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.00095055,0.00095055,0.00095055
39,202.456,2.12054,1.81489,1.41083,0.28618,0.37376,0.22542,0.13458,1.50192,1.59364,1.09963,0.000960652,0.000960652,0.000960652
40,205.924,1.83425,1.45306,1.26327,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.000969962,0.000969962,0.000969962
41,209.378,2.05143,1.37441,1.41749,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00097848,0.00097848,0.00097848
42,213.448,2.07827,1.39783,1.39914,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.000986206,0.000986206,0.000986206
43,217.617,2.10873,1.35912,1.25654,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00099314,0.00099314,0.00099314
44,221.933,2.16182,1.36512,1.25182,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.000999282,0.000999282,0.000999282
45,228.321,1.94249,1.42458,1.39199,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00100463,0.00100463,0.00100463
46,232.283,2.13484,1.42055,1.43897,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00100919,0.00100919,0.00100919
