epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1219,2.80226,3.80298,2.01795,0.17556,0.39109,0.11853,0.05935,1.62575,3.10059,1.14934,4e-05,4e-05,4e-05
2,31.9868,2.5248,3.79619,1.84005,0.17556,0.39109,0.11853,0.05935,1.62575,3.10059,1.14934,9.901e-05,9.901e-05,9.901e-05
3,41.1912,2.6864,3.54956,1.86212,0.3408,0.2995,0.2262,0.13292,1.46355,1.97225,1.07128,0.000156832,0.000156832,0.000156832
4,45.7473,2.21335,2.85879,1.59912,0.3408,0.2995,0.2262,0.13292,1.46355,1.97225,1.07128,0.000213466,0.000213466,0.000213466
5,49.8343,2.31057,3.15959,1.5545,0.3408,0.2995,0.2262,0.13292,1.46355,1.97225,1.07128,0.000268912,0.000268912,0.000268912
6,54.4729,2.09384,3.05152,1.61476,0.3408,0.2995,0.2262,0.13292,1.46355,1.97225,1.07128,0.00032317,0.00032317,0.00032317
7,60.155,2.20949,3.05752,1.38202,0.3408,0.2995,0.2262,0.13292,1.46355,1.97225,1.07128,0.00037624,0.00037624,0.00037624
8,64.4891,2.19696,2.48765,1.49218,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000428122,0.000428122,0.000428122
9,70.282,2.18839,2.02253,1.51354,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000478816,0.000478816,0.000478816
10,76.6048,2.51381,2.27047,1.69954,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000528322,0.000528322,0.000528322
11,82.593,2.1245,2.14318,1.51304,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.00057664,0.00057664,0.00057664
12,86.1846,2.13616,2.07236,1.48653,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.00062377,0.00062377,0.00062377
13,90.1164,2.1059,1.96337,1.41869,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000669712,0.000669712,0.000669712
14,93.4301,2.68634,2.58853,1.91841,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000714466,0.000714466,0.000714466
15,96.2657,2.04222,1.88504,1.39285,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000758032,0.000758032,0.000758032
16,98.7421,2.35561,2.39697,1.65477,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.00080041,0.00080041,0.00080041
17,101.685,2.64137,2.65185,2.00491,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.0008416,0.0008416,0.0008416
18,104.671,2.18959,1.77475,1.3682,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000881602,0.000881602,0.000881602
19,107.864,2.18292,1.99864,1.52967,0.18594,0.37376,0.10518,0.03756,2.16781,11.3259,1.35884,0.000920416,0.000920416,0.000920416
